"educR";"sexo";"age_grp";"Freq"
"2";"1";"18";0.0213962700094422
"3";"1";"18";0.0464405471403161
"4";"1";"18";0.0198291041838731
"5";"1";"18";0.049076391360276
"2";"2";"18";0.0160350520757893
"3";"2";"18";0.0420810203548501
"4";"2";"18";0.0255088712537103
"5";"2";"18";0.0548687897307113
"2";"1";"31";0.0294171534033518
"3";"1";"31";0.0451599556317409
"4";"1";"31";0.0144715633544271
"5";"1";"31";0.0320346920393252
"2";"2";"31";0.031875537376805
"3";"2";"31";0.0534867581082546
"4";"2";"31";0.0188270932874942
"5";"2";"31";0.0347726158695504
"2";"1";"46";0.0560516981666598
"3";"1";"46";0.0401564559877805
"4";"1";"46";0.0106034895399175
"5";"1";"46";0.0175439437933838
"2";"2";"46";0.0674592744721677
"3";"2";"46";0.0507480349075496
"4";"2";"46";0.0145588546108169
"5";"2";"46";0.016877988246696
"2";"1";"61";0.0537192949808167
"3";"1";"61";0.0165330598846796
"4";"1";"61";0.0039319435158424
"5";"1";"61";0.0113736829971661
"2";"2";"61";0.0705302160442608
"3";"2";"61";0.0195228653530771
"4";"2";"61";0.00414241776316315
"5";"2";"61";0.0109653645561048
